route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,605152,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,340402,45277,0,0
1,1,605153,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338845,45279,0,0
1,1,605154,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338829,45279,0,0
1,2,605327,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338888,45273,0,0
1,2,605328,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338889,45272,0,0
1,2,605329,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338890,45273,0,0
1,2,605330,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338891,45272,0,0
1,2,605331,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338892,45273,0,0
1,2,605332,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338893,45272,0,0
1,2,605333,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338894,45273,0,0
1,2,605334,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45272,0,0
1,2,605335,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338896,45273,0,0
1,2,605336,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338888,45272,0,0
1,2,605337,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338897,45273,0,0
1,2,605338,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338898,45272,0,0
1,2,605339,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338899,45273,0,0
1,2,605340,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338889,45272,0,0
1,2,605341,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338900,45273,0,0
1,2,605342,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338891,45272,0,0
1,2,605343,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338890,45273,0,0
1,2,605344,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338893,45272,0,0
1,2,605345,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338892,45273,0,0
1,2,605346,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45272,0,0
1,2,605347,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338894,45273,0,0
1,2,605348,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338888,45272,0,0
1,2,605349,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338896,45273,0,0
1,2,605350,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338898,45272,0,0
1,2,605351,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338897,45273,0,0
1,2,605352,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338889,45272,0,0
1,2,605353,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338899,45273,0,0
1,2,605354,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338891,45272,0,0
1,2,605355,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338900,45273,0,0
1,2,605356,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338890,45272,0,0
1,2,605357,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338901,45273,0,0
1,2,605358,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338892,45272,0,0
1,2,605359,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45272,0,0
1,2,605360,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338897,45272,0,0
1,2,605361,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338890,45272,0,0
1,2,605362,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338892,45273,0,0
1,2,605363,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338894,45272,0,0
1,2,605364,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338896,45273,0,0
1,2,605365,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45272,0,0
1,2,605366,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338897,45273,0,0
1,2,605367,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338888,45272,0,0
1,2,605368,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338899,45273,0,0
1,2,605369,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338898,45272,0,0
1,2,605370,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338900,45273,0,0
1,2,605371,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338893,45273,0,0
1,2,605372,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338894,45272,0,0
1,2,605373,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45273,0,0
1,2,605374,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338896,45272,0,0
1,2,605375,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338888,45273,0,0
1,2,605376,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338897,45272,0,0
1,2,605377,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338898,45273,0,0
1,2,605378,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338899,45272,0,0
1,2,605379,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338889,45273,0,0
1,2,605380,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338900,45272,0,0
1,2,605381,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338891,45273,0,0
1,2,605382,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338901,45272,0,0
1,2,605383,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338892,45273,0,0
1,2,605384,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338893,45272,0,0
1,2,605385,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338900,45272,0,0
1,2,605386,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338895,45272,0,0
1,2,605387,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338890,45273,0,0
1,2,605388,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338894,45273,0,0
1,2,605389,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338898,45274,0,0
1,2,605390,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338889,45274,0,0
1,2,605391,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338893,45274,0,0
1,2,605392,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338896,45278,0,0
1,2,605393,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338894,45277,0,0
1,2,605394,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338899,45278,0,0
1,2,605395,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338888,45277,0,0
1,2,605396,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338890,45278,0,0
1,2,605397,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338889,45277,0,0
1,2,605398,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338892,45278,0,0
1,2,605399,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338891,45277,0,0
