stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
LIVBAIE,3189,E LIVINGSTON AVE & BAIRSFORD DR,,39.943061,-82.844026
LIVWALE,3190,E LIVINGSTON AVE & WALNUT HILL BLVD,,39.942447,-82.837859
LIVSARE,3191,E LIVINGSTON AVE & SARANAC DR,,39.942287,-82.835388
LIVBRIE,3192,E LIVINGSTON AVE & BRICE RD,,39.941991,-82.830317
LIVBAIW,3217,E LIVINGSTON AVE & BAIRSFORD DR,,39.943203,-82.844267
LIVLONW,3218,E LIVINGSTON AVE & LONSDALE RD,,39.943288,-82.84989
LIVNOEW,3219,E LIVINGSTON AVE & NOE BIXBY RD,,39.943522,-82.85402
OLE3368N,3421,3368 OLENTANGY RIVER RD,,40.027669,-83.027931
NORSHAW,3423,W NORTH BROADWAY & SHATTUCK AVE,,40.029258,-83.042184
NORCLEW,3424,W NORTH BROADWAY & CLEARVIEW AVE,,40.028778,-83.046258
KENKENBN,3426,KENNY RD & KENBROOK COMMON ST,,40.030707,-83.049128
KENTREN,3427,KENNY RD & TREMONT RD,,40.032578,-83.050716
KENMILN,3429,KENNY RD & MILLCREEK LN,,40.036443,-83.050656
KENHIGN,3431,KENNY RD & HIGHLAND DR,,40.040346,-83.050398
